
--------------- Linear optimization problem characteristics ---------------
Seed:                    84
Number of variables:     50
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.15e-01
Norm of vector c:        2.59e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.016 -0.141 +0.161 +0.144 +0.035 -0.046 +0.203 +0.006 +0.003 -0.142
 -0.111 +0.063 +0.175 -0.103 +0.079 +0.043 +0.001 -0.026 -0.074 -0.021
 -0.090 -0.036 -0.124 -0.125 -0.200 +0.125 +0.038 +0.042 -0.147 +0.052
 -0.111 +0.157 -0.035 +0.225 -0.207 -0.124 +0.248 -0.013 +0.179 -0.099
 +0.193 +0.143 +0.133 +0.159 +0.243 +0.178 +0.028 -0.076 +0.141 -0.072]
                          [+0.054 +0.001 +0.015 +0.022 +0.098 +0.115 -0.153 -0.030 -0.013 -0.011
 +0.137 -0.012 -0.050 +0.133 +0.118 +0.001 +0.089 -0.072 +0.040 -0.028
 +0.098 -0.129 -0.028 -0.121 +0.113 -0.003 -0.031 +0.037 +0.172 -0.019
 +0.037 -0.179 -0.070 -0.137 +0.064 +0.041 -0.207 +0.064 +0.024 -0.068
 -0.117 +0.023 -0.049 -0.051 -0.164 -0.171 +0.017 +0.154 +0.047 +0.161]]

RHS vector b:            [+0.173 +0.127]
Obj vector c:            [+0.061 +0.273 -0.302 -0.264 -0.014 +0.152 -0.475 -0.028 -0.013 +0.266
 +0.289 +0.888 -0.364 +0.272 -0.087 -0.082 +0.047 +0.011 +0.164 +0.026
 +0.228 -0.001 +0.223 +0.176 +0.446 +1.480 -0.090 -0.061 +0.376 -0.111
 +0.234 -0.399 +0.029 -0.508 +0.434 +0.260 -0.589 +0.060 -0.332 +0.153
 -0.435 -0.263 -0.283 -0.334 -0.557 -0.435 -0.045 +0.230 -0.245 +0.226]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.025 +0.205 +0.134 +0.348 +0.548 +0.072 +0.096 +0.143 +0.232 +0.073
 +0.161 +0.000 +0.535 +0.165 +0.361 +0.297 +0.491 +0.479 +0.521 +0.059
 +0.340 +0.099 +0.041 +0.551 +0.197 +0.000 +0.353 +0.116 +0.542 +0.077
 +0.306 +0.148 +0.173 +0.183 +0.081 +0.454 +0.089 +0.276 +0.183 +0.108
 +0.081 +0.380 +0.551 +0.158 +0.314 +0.067 +0.024 +0.087 +0.240 +0.209]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +1.016 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +1.723 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000]
Dual variables:           [-1.924 +0.546]

Optimal objective:       -2.63532448e-01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   1.50792996e+01 -3.14521787e+00  4.21e+00 2.86e+01  2.16e+03 *1.55e-15  4.00e+00 1.00e+00 1.30e+01  7.14e-01 5.95e-01      0s
  43   5.52926775e+01 -3.94470435e-01  2.23e+01 9.37e-01  9.30e+01  1.52e+02  3.77e+00 2.43e+02 1.52e+02  1.58e-01 2.94e-03      9s
  44   5.60058713e+01 -3.94470435e-01  2.27e+01 9.34e-01  9.28e+01  1.55e+02  3.80e+00 2.48e+02 1.55e+02  1.56e-01 2.85e-03      9s
  45   5.67110823e+01 -3.94470435e-01  2.30e+01 9.32e-01  9.26e+01  1.58e+02  3.83e+00 2.54e+02 1.58e+02  1.53e-01 2.75e-03     10s
  46   5.74097162e+01 -3.94470435e-01  2.34e+01 9.29e-01  9.23e+01  1.62e+02  3.86e+00 2.59e+02 1.62e+02  1.51e-01 2.66e-03     10s
  47   5.81010752e+01 -3.94470435e-01  2.38e+01 9.27e-01  9.21e+01  1.65e+02  3.89e+00 2.65e+02 1.65e+02  1.49e-01 2.58e-03     10s
  48   5.87858498e+01 -3.94470435e-01  2.41e+01 9.25e-01  9.19e+01  1.69e+02  3.92e+00 2.71e+02 1.69e+02  1.46e-01 2.49e-03     10s
  49   5.94640398e+01 -3.94470435e-01  2.45e+01 9.22e-01  9.17e+01  1.72e+02  3.94e+00 2.77e+02 1.72e+02  1.44e-01 2.42e-03     10s
  50   6.01356474e+01 -3.94470435e-01  2.49e+01 9.20e-01  9.15e+01  1.76e+02  3.97e+00 2.82e+02 1.76e+02  1.42e-01 2.34e-03     11s
  51   3.91163222e+01 -3.38383065e-01  1.60e+01 5.91e-01  6.11e+01  2.49e-02  4.00e+00 2.88e+02 1.79e+02  8.91e-01 3.58e-01     11s
  52   4.02676392e+01 -3.38383065e-01  1.66e+01 5.86e-01  6.06e+01  9.33e+01  3.11e+00 2.58e+02 9.33e+01  2.43e-01 8.00e-03     11s
  53   4.13526875e+01 -3.38383065e-01  1.72e+01 5.82e-01  6.02e+01  9.67e+01  3.13e+00 2.67e+02 9.67e+01  2.37e-01 7.26e-03     11s
  54   4.24192547e+01 -3.38383065e-01  1.77e+01 5.78e-01  5.99e+01  1.00e+02  3.14e+00 2.76e+02 1.00e+02  2.32e-01 6.88e-03     12s
  55   4.34662221e+01 -3.38383065e-01  1.83e+01 5.74e-01  5.95e+01  1.03e+02  3.16e+00 2.84e+02 1.03e+02  2.26e-01 6.53e-03     12s
  56   4.44946086e+01 -3.38383065e-01  1.88e+01 5.71e-01  5.92e+01  1.07e+02  3.18e+00 2.93e+02 1.07e+02  2.21e-01 6.20e-03     12s
  57   4.55074450e+01 -3.38383065e-01  1.94e+01 5.67e-01  5.89e+01  1.10e+02  3.19e+00 3.02e+02 1.10e+02  2.16e-01 5.90e-03     12s
  58   4.65026895e+01 -3.38383065e-01  1.99e+01 5.64e-01  5.86e+01  1.14e+02  3.21e+00 3.11e+02 1.14e+02  2.12e-01 5.62e-03     12s
  59   4.74823209e+01 -3.38383065e-01  2.04e+01 5.61e-01  5.83e+01  1.17e+02  3.23e+00 3.20e+02 1.17e+02  2.07e-01 5.36e-03     13s
  60   4.84472994e+01 -3.38383065e-01  2.09e+01 5.58e-01  5.80e+01  1.20e+02  3.25e+00 3.30e+02 1.20e+02  2.03e-01 5.12e-03     13s
  61   4.93976175e+01 -3.38383065e-01  2.14e+01 5.55e-01  5.77e+01  1.24e+02  3.27e+00 3.39e+02 1.24e+02  1.99e-01 4.89e-03     13s
  62   5.03332838e+01 -3.38383065e-01  2.19e+01 5.53e-01  5.75e+01  1.27e+02  3.28e+00 3.48e+02 1.27e+02  1.95e-01 4.68e-03     13s
  63   5.12561666e+01 -3.38383065e-01  2.24e+01 5.50e-01  5.73e+01  1.31e+02  3.30e+00 3.58e+02 1.31e+02  1.91e-01 4.48e-03     13s
