  83   4.95732435e+02  6.50358281e-02  2.49e+02 2.49e+00  3.37e+03  1.10e+03  3.00e+00 8.08e+02 1.10e+03  1.87e-01 4.20e-03   2307s
  84   4.21749828e+02  5.94584210e-02  2.12e+02 2.11e+00  2.91e+03  1.14e+00  2.99e+00 8.18e+02 1.11e+03  7.33e-01 1.49e-01   2332s
  85   4.31548628e+02  5.94584210e-02  2.17e+02 2.10e+00  2.89e+03  9.20e+02  3.13e+00 8.95e+02 9.20e+02  2.34e-01 7.04e-03   2359s
  86   4.40882815e+02  5.94584210e-02  2.21e+02 2.09e+00  2.88e+03  9.41e+02  3.11e+00 9.09e+02 9.41e+02  2.28e-01 6.56e-03   2386s
  87   4.49943668e+02  5.94584210e-02  2.26e+02 2.07e+00  2.86e+03  9.61e+02  3.09e+00 9.23e+02 9.61e+02  2.23e-01 6.24e-03   2413s
  88   4.58746543e+02  5.94584210e-02  2.30e+02 2.06e+00  2.84e+03  9.81e+02  3.08e+00 9.37e+02 9.81e+02  2.18e-01 5.94e-03   2441s
  89   4.67297507e+02  5.94584210e-02  2.35e+02 2.05e+00  2.83e+03  1.00e+03  3.06e+00 9.50e+02 1.00e+03  2.14e-01 5.65e-03   2468s
  90   4.75602660e+02  5.94584210e-02  2.39e+02 2.04e+00  2.82e+03  1.02e+03  3.05e+00 9.64e+02 1.02e+03  2.09e-01 5.39e-03   2495s
  91   4.83692350e+02  5.94584210e-02  2.43e+02 2.03e+00  2.80e+03  1.04e+03  3.04e+00 9.77e+02 1.04e+03  2.05e-01 5.15e-03   2522s
  92   4.91555528e+02  5.94584210e-02  2.47e+02 2.02e+00  2.79e+03  1.06e+03  3.02e+00 9.89e+02 1.06e+03  2.01e-01 4.92e-03   2549s
  93   4.99213107e+02  5.94584210e-02  2.51e+02 2.01e+00  2.78e+03  1.08e+03  3.01e+00 1.00e+03 1.08e+03  1.97e-01 4.71e-03   2576s
  94   4.13276968e+02  5.42947255e-02  2.08e+02 1.66e+00  2.34e+03  3.06e-01  3.00e+00 1.01e+03 1.10e+03  7.59e-01 1.72e-01   2601s
  95   4.24330669e+02  5.42947255e-02  2.13e+02 1.65e+00  2.32e+03  8.78e+02  3.16e+00 1.13e+03 8.78e+02  2.54e-01 8.39e-03   2628s
  96   4.34985931e+02  5.42947255e-02  2.19e+02 1.63e+00  2.31e+03  9.00e+02  3.14e+00 1.15e+03 9.00e+02  2.48e-01 7.89e-03   2655s
  97   4.45305937e+02  5.42947255e-02  2.24e+02 1.62e+00  2.29e+03  9.22e+02  3.12e+00 1.17e+03 9.22e+02  2.42e-01 7.47e-03   2682s
  98   4.55308868e+02  5.42947255e-02  2.29e+02 1.61e+00  2.28e+03  9.44e+02  3.10e+00 1.19e+03 9.44e+02  2.36e-01 7.08e-03   2709s
  99   4.65002396e+02  5.42947255e-02  2.34e+02 1.60e+00  2.26e+03  9.66e+02  3.09e+00 1.21e+03 9.66e+02  2.30e-01 6.71e-03   2736s
 100   4.74403694e+02  5.42947255e-02  2.39e+02 1.59e+00  2.25e+03  9.87e+02  3.07e+00 1.23e+03 9.87e+02  2.25e-01 6.37e-03   2763s
 101   4.83529127e+02  5.42947255e-02  2.44e+02 1.58e+00  2.24e+03  1.01e+03  3.06e+00 1.25e+03 1.01e+03  2.20e-01 6.06e-03   2791s
 102   4.92394273e+02  5.42947255e-02  2.48e+02 1.57e+00  2.22e+03  1.03e+03  3.04e+00 1.27e+03 1.03e+03  2.16e-01 5.77e-03   2819s
 103   5.01013959e+02  5.42947255e-02  2.52e+02 1.56e+00  2.21e+03  1.05e+03  3.03e+00 1.29e+03 1.05e+03  2.11e-01 5.50e-03   2847s
 104   5.09393902e+02  5.42947255e-02  2.57e+02 1.55e+00  2.20e+03  1.07e+03  3.01e+00 1.30e+03 1.07e+03  2.07e-01 5.25e-03   2874s
 105   4.12641658e+02  4.99011278e-02  2.08e+02 1.26e+00  1.82e+03  9.28e-02  3.00e+00 1.32e+03 1.09e+03  7.77e-01 1.90e-01   2900s
 106   4.25125668e+02  4.99011278e-02  2.14e+02 1.25e+00  1.80e+03  8.49e+02  3.19e+00 1.50e+03 8.49e+02  2.73e-01 9.91e-03   2927s
 107   4.37159280e+02  4.99011278e-02  2.20e+02 1.24e+00  1.79e+03  8.73e+02  3.17e+00 1.53e+03 8.73e+02  2.66e-01 9.30e-03   2954s
 108   4.48777777e+02  4.99011278e-02  2.26e+02 1.22e+00  1.77e+03  8.97e+02  3.15e+00 1.56e+03 8.97e+02  2.59e-01 8.75e-03   2982s
 109   4.60025573e+02  4.99011278e-02  2.32e+02 1.21e+00  1.76e+03  9.21e+02  3.12e+00 1.59e+03 9.21e+02  2.52e-01 8.26e-03   3008s
 110   4.70889577e+02  4.99011278e-02  2.38e+02 1.20e+00  1.75e+03  9.44e+02  3.11e+00 1.62e+03 9.44e+02  2.46e-01 7.78e-03   3036s
