
--------------- Linear optimization problem characteristics ---------------
Seed:                    34
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.37e-02
Norm of vector c:        2.78e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.006 -0.011 -0.001 ... -0.003 +0.009 -0.004]
                          [+0.006 +0.005 -0.004 ... -0.008 -0.006 +0.005]]

RHS vector b:            [+0.014 -0.000]
Obj vector c:            [-0.006 -0.016 -0.006 ... -0.013 +0.011 -0.003]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.027 +0.003 ... +0.022 +0.032 +0.028]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.793 +0.887]

Optimal objective:       +2.44394790e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.12101829e+01 -9.48853173e-02  2.98e-01 4.41e+01  4.83e+04 *4.44e-16  4.00e+00 1.00e+00 5.94e+00  9.77e-01 9.56e-01     39s
  47  -2.38608204e+02 -7.80917113e-02  1.84e+02 2.33e+01  2.72e+04  8.78e+02  3.94e+00 7.75e+01 8.78e+02  1.80e-01 3.83e-03   2520s
  48  -2.42161024e+02 -7.80917113e-02  1.86e+02 2.32e+01  2.71e+04  8.92e+02  3.95e+00 7.85e+01 8.92e+02  1.76e-01 3.69e-03   2567s
  49  -2.45630289e+02 -7.80917113e-02  1.89e+02 2.32e+01  2.70e+04  9.06e+02  3.96e+00 7.95e+01 9.06e+02  1.73e-01 3.55e-03   2613s
  50  -2.49021256e+02 -7.80917113e-02  1.91e+02 2.31e+01  2.69e+04  9.19e+02  3.97e+00 8.04e+01 9.19e+02  1.70e-01 3.42e-03   2660s
  51  -2.52332284e+02 -7.80917113e-02  1.94e+02 2.30e+01  2.68e+04  9.32e+02  3.98e+00 8.14e+01 9.32e+02  1.68e-01 3.29e-03   2706s
  52  -2.55574910e+02 -7.80917113e-02  1.96e+02 2.29e+01  2.68e+04  9.46e+02  3.99e+00 8.23e+01 9.46e+02  1.65e-01 3.18e-03   2752s
  53  -2.29201552e+02 -6.40530365e-02  1.76e+02 2.06e+01  2.43e+04  3.45e-01  4.01e+00 8.33e+01 9.59e+02  6.61e-01 1.02e-01   2794s
  54  -2.33350885e+02 -6.40530365e-02  1.79e+02 2.05e+01  2.42e+04  8.40e+02  3.90e+00 8.65e+01 8.40e+02  1.94e-01 4.59e-03   2882s
  55  -2.37339327e+02 -6.40530365e-02  1.82e+02 2.04e+01  2.41e+04  8.55e+02  3.91e+00 8.78e+01 8.55e+02  1.90e-01 4.34e-03   2976s
  56  -2.41231003e+02 -6.40530365e-02  1.85e+02 2.03e+01  2.40e+04  8.70e+02  3.92e+00 8.90e+01 8.70e+02  1.87e-01 4.17e-03   3068s
  57  -2.45028062e+02 -6.40530365e-02  1.88e+02 2.02e+01  2.39e+04  8.84e+02  3.93e+00 9.01e+01 8.84e+02  1.83e-01 4.00e-03   3167s
  58  -2.48736339e+02 -6.40530365e-02  1.90e+02 2.02e+01  2.38e+04  8.98e+02  3.94e+00 9.13e+01 8.98e+02  1.80e-01 3.85e-03   3264s
  59  -2.52354134e+02 -6.40530365e-02  1.93e+02 2.01e+01  2.37e+04  9.12e+02  3.95e+00 9.25e+01 9.12e+02  1.77e-01 3.70e-03   3336s
  60  -2.55890601e+02 -6.40530365e-02  1.96e+02 2.00e+01  2.37e+04  9.26e+02  3.96e+00 9.36e+01 9.26e+02  1.74e-01 3.56e-03   3378s
  61  -2.59343993e+02 -6.40530365e-02  1.98e+02 2.00e+01  2.36e+04  9.40e+02  3.97e+00 9.47e+01 9.40e+02  1.71e-01 3.43e-03   3425s
  62  -2.62722922e+02 -6.40530365e-02  2.01e+02 1.99e+01  2.35e+04  9.53e+02  3.98e+00 9.59e+01 9.53e+02  1.68e-01 3.31e-03   3471s
  63  -2.66025595e+02 -6.40530365e-02  2.03e+02 1.98e+01  2.35e+04  9.67e+02  4.00e+00 9.70e+01 9.67e+02  1.65e-01 3.19e-03   3515s
  64  -2.39698237e+02 -5.23883579e-02  1.83e+02 1.79e+01  2.14e+04  5.80e-01  4.01e+00 9.81e+01 9.80e+02  6.53e-01 9.79e-02   3554s
  65  -2.43848723e+02 -5.23883579e-02  1.86e+02 1.78e+01  2.13e+04  8.62e+02  3.90e+00 1.02e+02 8.62e+02  1.93e-01 4.50e-03   3597s
  66  -2.47878695e+02 -5.23883579e-02  1.89e+02 1.77e+01  2.12e+04  8.77e+02  3.91e+00 1.03e+02 8.77e+02  1.89e-01 4.30e-03   3641s
