  57   7.54103240e+01  2.96401746e-02  1.74e+02 2.62e+00  3.49e+03  8.10e+02  3.87e+00 7.91e+02 8.10e+02  2.48e-01 7.98e-03   2917s
  58   7.68146448e+01  2.96401746e-02  1.79e+02 2.60e+00  3.46e+03  8.34e+02  3.89e+00 8.10e+02 8.34e+02  2.42e-01 7.53e-03   2959s
  59   7.81486741e+01  2.96401746e-02  1.83e+02 2.58e+00  3.44e+03  8.58e+02  3.90e+00 8.29e+02 8.58e+02  2.36e-01 7.13e-03   2996s
  60   7.94154070e+01  2.96401746e-02  1.88e+02 2.56e+00  3.42e+03  8.82e+02  3.91e+00 8.48e+02 8.82e+02  2.31e-01 6.76e-03   3036s
  61   8.06189902e+01  2.96401746e-02  1.93e+02 2.55e+00  3.40e+03  9.05e+02  3.92e+00 8.66e+02 9.05e+02  2.26e-01 6.42e-03   3077s
  62   8.17632999e+01  2.96401746e-02  1.97e+02 2.53e+00  3.38e+03  9.28e+02  3.94e+00 8.85e+02 9.28e+02  2.21e-01 6.10e-03   3120s
  63   8.28519561e+01  2.96401746e-02  2.02e+02 2.52e+00  3.36e+03  9.52e+02  3.95e+00 9.03e+02 9.52e+02  2.16e-01 5.81e-03   3163s
  64   8.38873007e+01  2.96401746e-02  2.06e+02 2.50e+00  3.35e+03  9.75e+02  3.97e+00 9.22e+02 9.75e+02  2.11e-01 5.54e-03   3202s
  65   8.48726065e+01  2.96401746e-02  2.10e+02 2.49e+00  3.33e+03  9.97e+02  3.98e+00 9.40e+02 9.97e+02  2.07e-01 5.28e-03   3241s
  66   5.73962601e+01  1.71311259e-02  1.42e+02 1.68e+00  2.32e+03  3.08e-02  4.00e+00 9.58e+02 1.02e+03  8.67e-01 3.24e-01   3279s
  67   5.97913636e+01  1.71311259e-02  1.50e+02 1.65e+00  2.29e+03  6.21e+02  3.85e+00 1.11e+03 6.21e+02  3.35e-01 1.61e-02   3318s
  68   6.20312689e+01  1.71311259e-02  1.57e+02 1.63e+00  2.26e+03  6.51e+02  3.85e+00 1.15e+03 6.51e+02  3.24e-01 1.49e-02   3359s
  69   6.41299747e+01  1.71311259e-02  1.64e+02 1.61e+00  2.23e+03  6.80e+02  3.86e+00 1.20e+03 6.80e+02  3.13e-01 1.38e-02   3401s
  70   6.61002685e+01  1.71311259e-02  1.71e+02 1.59e+00  2.20e+03  7.09e+02  3.87e+00 1.24e+03 7.09e+02  3.04e-01 1.28e-02   3440s
  71   6.79482314e+01  1.71311259e-02  1.78e+02 1.57e+00  2.18e+03  7.37e+02  3.88e+00 1.28e+03 7.37e+02  2.95e-01 1.19e-02   3484s
  72   6.96851986e+01  1.71311259e-02  1.84e+02 1.55e+00  2.16e+03  7.66e+02  3.89e+00 1.31e+03 7.66e+02  2.86e-01 1.11e-02   3525s
  73   7.13165072e+01  1.71311259e-02  1.91e+02 1.53e+00  2.14e+03  7.93e+02  3.90e+00 1.35e+03 7.93e+02  2.78e-01 1.04e-02   3567s
  74   7.28520732e+01  1.71311259e-02  1.97e+02 1.52e+00  2.12e+03  8.21e+02  3.91e+00 1.39e+03 8.21e+02  2.71e-01 9.75e-03   3610s
  75   7.42964702e+01  1.71311259e-02  2.03e+02 1.51e+00  2.10e+03  8.48e+02  3.93e+00 1.43e+03 8.48e+02  2.64e-01 9.16e-03   3652s
  76   7.56569388e+01  1.71311259e-02  2.09e+02 1.49e+00  2.09e+03  8.75e+02  3.94e+00 1.47e+03 8.75e+02  2.57e-01 8.62e-03   3734s
  77   7.69388063e+01  1.71311259e-02  2.14e+02 1.48e+00  2.07e+03  9.02e+02  3.95e+00 1.51e+03 9.02e+02  2.50e-01 8.13e-03   3819s
  78   7.81470682e+01  1.71311259e-02  2.20e+02 1.47e+00  2.06e+03  9.29e+02  3.97e+00 1.54e+03 9.29e+02  2.44e-01 7.68e-03   3904s
  79   7.92863996e+01  1.71311259e-02  2.25e+02 1.46e+00  2.04e+03  9.55e+02  3.99e+00 1.58e+03 9.55e+02  2.38e-01 7.27e-03   3987s
  80   4.11097164e+01  6.35509766e-03  1.16e+02 7.52e-01  1.10e+03  2.07e-01  4.00e+00 1.62e+03 9.81e+02  8.55e-01 4.84e-01   4066s
  81   4.50039249e+01  6.35509766e-03  1.31e+02 7.15e-01  1.05e+03  4.08e+02  3.90e+00 2.24e+03 4.08e+02  5.13e-01 4.99e-02   4149s
  82   4.84937685e+01  6.35509766e-03  1.44e+02 6.84e-01  1.01e+03  4.50e+02  3.90e+00 2.43e+03 4.50e+02  4.87e-01 4.26e-02   4233s
