
--------------- Linear optimization problem characteristics ---------------
Seed:                    78
Number of variables:     8
Number of constraints:   2

Norm of primal sol:      4.19e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        6.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.228 +0.253 -0.020 +0.268 +0.117 -0.180 +0.153 -0.020]
                          [+0.412 -0.423 +0.365 +0.387 +0.403 +0.413 +0.155 +0.060]]

RHS vector b:            [+1.108 +1.665]
Obj vector c:            [-2.397 -2.416 +0.096 -2.785 +3.559 +1.681 -1.573 +1.420]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.124 +1.757 +2.061 +2.064 +0.000 +1.146 +2.145 +0.000]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +4.844 +0.000 +0.000 +1.237]
Dual variables:           [-9.996 -0.279]

Optimal objective:       -1.15405580e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
  38  -1.36959900e+02 -1.58486965e+00  2.59e+01 6.61e+00  1.72e+02  1.11e+02  3.61e+00 2.21e+01 1.11e+02  1.55e-01 3.12e-03      4s
  39  -1.39304644e+02 -1.58486965e+00  2.61e+01 6.59e+00  1.71e+02  1.14e+02  3.62e+00 2.28e+01 1.14e+02  1.52e-01 3.01e-03      4s
  40  -1.41627128e+02 -1.58486965e+00  2.64e+01 6.57e+00  1.71e+02  1.17e+02  3.64e+00 2.34e+01 1.17e+02  1.50e-01 2.90e-03      4s
  41  -1.43929343e+02 -1.58486965e+00  2.66e+01 6.55e+00  1.70e+02  1.20e+02  3.66e+00 2.41e+01 1.20e+02  1.47e-01 2.79e-03      4s
  42  -1.46213266e+02 -1.58486965e+00  2.69e+01 6.53e+00  1.70e+02  1.24e+02  3.68e+00 2.48e+01 1.24e+02  1.45e-01 2.70e-03      5s
  43  -1.48478599e+02 -1.58486965e+00  2.71e+01 6.51e+00  1.70e+02  1.27e+02  3.70e+00 2.55e+01 1.27e+02  1.42e-01 2.60e-03      5s
  44  -1.50722812e+02 -1.58486965e+00  2.74e+01 6.50e+00  1.69e+02  1.30e+02  3.71e+00 2.62e+01 1.30e+02  1.40e-01 2.51e-03      5s
  45  -1.52952342e+02 -1.58486965e+00  2.76e+01 6.48e+00  1.69e+02  1.34e+02  3.73e+00 2.69e+01 1.34e+02  1.38e-01 2.43e-03      5s
  46  -1.55162495e+02 -1.58486965e+00  2.79e+01 6.47e+00  1.69e+02  1.37e+02  3.75e+00 2.76e+01 1.37e+02  1.36e-01 2.35e-03      5s
  47  -1.57357430e+02 -1.58486965e+00  2.81e+01 6.45e+00  1.68e+02  1.40e+02  3.77e+00 2.83e+01 1.40e+02  1.34e-01 2.27e-03      5s
  48  -1.59534726e+02 -1.58486965e+00  2.84e+01 6.44e+00  1.68e+02  1.44e+02  3.79e+00 2.90e+01 1.44e+02  1.32e-01 2.20e-03      5s
  49  -1.61696331e+02 -1.58486965e+00  2.86e+01 6.42e+00  1.68e+02  1.47e+02  3.81e+00 2.98e+01 1.47e+02  1.30e-01 2.13e-03      5s
  50  -1.63842031e+02 -1.58486965e+00  2.89e+01 6.41e+00  1.67e+02  1.51e+02  3.83e+00 3.05e+01 1.51e+02  1.28e-01 2.07e-03      5s
  51  -1.65971626e+02 -1.58486965e+00  2.91e+01 6.40e+00  1.67e+02  1.54e+02  3.85e+00 3.13e+01 1.54e+02  1.26e-01 2.00e-03      6s
  52  -1.68087040e+02 -1.58486965e+00  2.94e+01 6.38e+00  1.67e+02  1.58e+02  3.87e+00 3.20e+01 1.58e+02  1.25e-01 1.94e-03      6s
  53  -1.70188086e+02 -1.58486965e+00  2.96e+01 6.37e+00  1.66e+02  1.62e+02  3.90e+00 3.28e+01 1.62e+02  1.23e-01 1.89e-03      6s
  54  -1.72276671e+02 -1.58486965e+00  2.98e+01 6.36e+00  1.66e+02  1.65e+02  3.92e+00 3.36e+01 1.65e+02  1.21e-01 1.83e-03      6s
  55  -1.74348468e+02 -1.58486965e+00  3.01e+01 6.35e+00  1.66e+02  1.69e+02  3.94e+00 3.43e+01 1.69e+02  1.20e-01 1.78e-03      6s
  56  -1.76409507e+02 -1.58486965e+00  3.03e+01 6.34e+00  1.66e+02  1.73e+02  3.96e+00 3.51e+01 1.73e+02  1.18e-01 1.73e-03      6s
  57  -1.78455521e+02 -1.58486965e+00  3.06e+01 6.33e+00  1.65e+02  1.77e+02  3.98e+00 3.59e+01 1.77e+02  1.16e-01 1.68e-03      6s
  58  -1.60448790e+02 -2.82990062e+00  2.74e+01 5.68e+00  1.50e+02 *1.01e-01  4.01e+00 3.67e+01 1.80e+02  6.76e-01 1.03e-01      6s
  59  -1.62775458e+02 -2.82990062e+00  2.77e+01 5.67e+00  1.50e+02  1.36e+02  3.55e+00 3.18e+01 1.36e+02  1.37e-01 2.43e-03      6s
  60  -1.65059276e+02 -2.82990062e+00  2.79e+01 5.65e+00  1.49e+02  1.40e+02  3.56e+00 3.27e+01 1.40e+02  1.35e-01 2.32e-03      6s
  61  -1.67327457e+02 -2.82990062e+00  2.82e+01 5.64e+00  1.49e+02  1.43e+02  3.58e+00 3.35e+01 1.43e+02  1.33e-01 2.25e-03      7s
  62  -1.69577488e+02 -2.82990062e+00  2.85e+01 5.63e+00  1.49e+02  1.47e+02  3.60e+00 3.44e+01 1.47e+02  1.31e-01 2.18e-03      7s
  63  -1.71811372e+02 -2.82990062e+00  2.87e+01 5.62e+00  1.48e+02  1.50e+02  3.61e+00 3.52e+01 1.50e+02  1.29e-01 2.11e-03      7s
  64  -1.74031098e+02 -2.82990062e+00  2.90e+01 5.60e+00  1.48e+02  1.54e+02  3.63e+00 3.61e+01 1.54e+02  1.27e-01 2.04e-03      7s
  65  -1.76232031e+02 -2.82990062e+00  2.92e+01 5.59e+00  1.48e+02  1.58e+02  3.64e+00 3.70e+01 1.58e+02  1.25e-01 1.98e-03      7s
  66  -1.78420538e+02 -2.82990062e+00  2.94e+01 5.58e+00  1.48e+02  1.61e+02  3.66e+00 3.79e+01 1.61e+02  1.24e-01 1.92e-03      7s
  67  -1.80592059e+02 -2.82990062e+00  2.97e+01 5.57e+00  1.47e+02  1.65e+02  3.68e+00 3.88e+01 1.65e+02  1.22e-01 1.87e-03      7s
  68  -1.82750727e+02 -2.82990062e+00  2.99e+01 5.56e+00  1.47e+02  1.69e+02  3.70e+00 3.97e+01 1.69e+02  1.20e-01 1.81e-03      7s
